Rank,Name,Revenue($m),Profits($m),Assets($m),Market Value($m),Employees,Website,Alexa Rank,Back Links,Page Authority,Domain Authority,Moz Rank,Pageviews,Worth,Page Size,Code to Text Ratio,Semrush Rank,Keywords,Organic Traffic,Cost (in USD),Adwords Keywords,Adwords Traffic,Adwords Buget (in USD)
322,Campbell Soup,9909.0,211,13148.0,13928.5,19000,http://www.campbellsoupcompany.com,397712.0,0.0,0/100,0/100,0/10,2770.0,6060.0,65536.0,4.52% (Text size 2.89Kb and  Code size 61.11Kb),,,,,,,
324,NRG Energy,9871.0,4438,12531.0,6829.8,4577,http://www.nrgenergy.com,319028.0,0.0,0/100,0/100,0/10,3450.0,7550.0,5253.12,13.47% (Text size 0.69Kb and  Code size 4.44Kb),,,,,,,
325,Fifth Third Bancorp,9790.0,2512,169369.0,10560.3,19869,http://www.53.com,3125.0,0.0,0/100,0/100,0/10,352000.0,770880.0,,,1120.0,55785.0,1721826.0,3191872.0,3.0,2.0,0.0
330,Advance Auto Parts,9709.0,486.9,11248.5,6461.3,53000,http://www.advanceautoparts.com,9562.0,0.0,0/100,0/100,0/10,115040.0,251930.0,5908.48,11.89% (Text size 0.69Kb and  Code size 5.08Kb),484.0,994628.0,5910452.0,3581548.0,5416.0,239705.0,69636.0
331,Lam Research,9653.6,2191.4,12001.3,34931.6,10700,http://www.lamresearch.com,162550.0,0.0,0/100,0/100,0/10,6770.0,14820.0,,,,,,,,,
332,Owens & Minor,9650.0,-62.4,3643.1,576.9,15400,http://www.owens-minor.com,462588.0,0.0,0/100,0/100,0/10,2380.0,5200.0,37498.88,42.59% (Text size 15.59Kb and  Code size 21.02Kb),,,,,,,
335,Markel,9526.2,1790.5,37473.8,12787.1,18600,http://www.markelcorp.com,669669.0,0.0,0/100,0/100,0/10,1640.0,3600.0,65536.0,51.97% (Text size 33.26Kb and  Code size 30.74Kb),546215.0,1428.0,1823.0,3448.0,0.0,0.0,0.0
337,Hormel Foods,9497.3,978.8,8109.0,25081.9,18800,http://www.hormelfoods.com,466298.0,0.0,0/100,0/100,0/10,2360.0,5170.0,65536.0,9.08% (Text size 5.81Kb and  Code size 58.19Kb),,,,,,,
338,Hilton Worldwide Holdings,9452.0,881,14957.0,18933,173000,http://www.hiltonworldwide.com,426762.0,0.0,0/100,0/100,0/10,2580.0,5640.0,65536.0,15.87% (Text size 10.16Kb and  Code size 53.84Kb),,,,,,,
340,United Rentals,9351.0,1174,18970.0,7622.6,19100,http://www.unitedrentals.com,134794.0,225.0,48.94/100,57.8/100,4.88/10,8160.0,17870.0,65536.0,22.31% (Text size 14.28Kb and  Code size 49.72Kb),7447.0,49186.0,199552.0,338696.0,363.0,5268.0,6060.0
341,Pioneer Natural Resources,9304.0,756,19067.0,11624.9,2323,http://www.pxd.com,424480.0,0.0,0/100,0/100,0/10,2590.0,5670.0,44288.0,18.01% (Text size 7.79Kb and  Code size 35.46Kb),,,,,,,
342,Delek US Holdings,9298.2,310.6,7016.3,1190.1,3707,http://www.delekus.com,1035231.0,0.0,0/100,0/100,0/10,1060.0,2330.0,12113.92,27.77% (Text size 3.28Kb and  Code size 8.54Kb),,,,,,,
343,Eastman Chemical,9273.0,759,16008.0,6330,14500,http://www.eastman.com,183724.0,0.0,0/100,0/100,0/10,5990.0,13110.0,59125.76,12.54% (Text size 7.24Kb and  Code size 50.49Kb),,,,,,,
344,EMCOR Group,9174.6,325.1,4830.4,3449.8,36000,http://www.emcorgroup.com,711588.0,0.0,0/100,0/100,0/10,1550.0,3390.0,28456.96,21.56% (Text size 5.99Kb and  Code size 21.8Kb),,,,,,,
345,Avis Budget Group,9172.0,302,23126.0,966.6,25600,http://www.avisbudgetgroup.com,280671.0,0.0,0/100,0/100,0/10,3920.0,8580.0,65536.0,2.44% (Text size 1.56Kb and  Code size 62.44Kb),,,,,,,
346,J.B. Hunt Transport Services,9165.3,516.3,5470.9,9800.3,29056,http://www.jbhunt.com,57750.0,0.0,0/100,0/100,0/10,19050.0,41710.0,17264.64,17.5% (Text size 2.95Kb and  Code size 13.91Kb),,,,,,,
349,KKR,9120.3,2005,60899.3,19912.6,1384,http://www.kkr.com,180507.0,0.0,0/100,0/100,0/10,6090.0,13340.0,65536.0,38.95% (Text size 24.93Kb and  Code size 39.07Kb),,,,,,,
350,AGCO,9041.4,125.2,7759.7,3546.3,20961,http://www.agcocorp.com,126792.0,0.0,0/100,0/100,0/10,8680.0,19000.0,51015.68,41.61% (Text size 20.73Kb and  Code size 29.09Kb),,,,,,,
351,Alleghany,9040.7,857.8,26931.6,7923.5,10786,http://www.alleghany.com,1634405.0,0.0,0/100,0/100,0/10,673.0,1470.0,35665.92,9.22% (Text size 3.21Kb and  Code size 31.62Kb),424607.0,341.0,2386.0,389.0,0.0,0.0,0.0
352,Icahn Enterprises,8992.0,-1098,24639.0,10365.7,28033,http://www.ielp.com,1819434.0,0.0,0/100,0/100,0/10,604.0,1320.0,28723.2,15.52% (Text size 4.35Kb and  Code size 23.7Kb),,,,,,,
353,Voya Financial,8942.0,-351,169051.0,5366.2,6000,http://www.voya.com,16357.0,0.0,0/100,0/100,0/10,67250.0,147280.0,65536.0,5.64% (Text size 3.61Kb and  Code size 60.39Kb),,,,,,,
354,Ryder System,8925.8,-24.4,14475.3,1380.7,39900,http://www.ryder.com,95198.0,0.0,0/100,0/100,0/10,11550.0,25300.0,65536.0,16.78% (Text size 10.74Kb and  Code size 53.26Kb),,,,,,,
355,Air Products & Chemicals,8918.9,1760,18942.8,44049.6,17570,http://www.airproducts.com,167321.0,0.0,0/100,0/100,0/10,6570.0,14400.0,37949.44,15.78% (Text size 5.85Kb and  Code size 31.21Kb),,,,,,,
356,Mosaic,8906.3,-1067.4,19298.5,4098.2,12600,http://www.mosaicco.com,503072.0,0.0,0/100,0/100,0/10,2190.0,4790.0,20203.52,19.98% (Text size 3.94Kb and  Code size 15.79Kb),,,,,,,
357,Huntington Ingalls Industries,8899.0,549,7031.0,7420.3,42000,http://www.huntingtoningalls.com,294075.0,0.0,0/100,0/100,0/10,3740.0,8190.0,65536.0,8.03% (Text size 5.14Kb and  Code size 58.86Kb),,,,,,,
359,Anixter International,8845.6,262.9,4808.9,2972.7,9400,http://www.anixter.com,52138.0,0.0,0/100,0/100,0/10,21100.0,46200.0,,,,,,,,,
360,Alaska Air Group,8781.0,769,12993.0,3490,24134,http://www.alaskaair.com,3247.0,0.0,0/100,0/100,0/10,338770.0,741910.0,,,,,,,,,
362,Dick's Sporting Goods,8750.7,297.5,6628.6,1848.3,28450,http://www.dickssportinggoods.com,2563.0,0.0,0/100,0/100,0/10,429180.0,939910.0,65536.0,0.11% (Text size 0.07Kb and  Code size 63.93Kb),,,,,,,
363,Caesars Entertainment,8742.0,-1195,25345.0,4612.1,64000,http://www.caesars.com,13443.0,0.0,0/100,0/100,0/10,81830.0,179200.0,17111.04,10.09% (Text size 1.69Kb and  Code size 15.02Kb),,,,,,,
364,Genworth Financial,8681.0,343,101342.0,1675.8,3100,http://www.genworth.com,154965.0,0.0,0/100,0/100,0/10,7100.0,15540.0,65536.0,41.65% (Text size 26.65Kb and  Code size 37.34Kb),,,,,,,
365,Targa Resources,8671.1,-209.2,18815.1,1610.8,2680,http://www.targaresources.com,2228008.0,0.0,0/100,0/100,0/10,493.0,1080.0,11704.32,29.62% (Text size 3.39Kb and  Code size 8.04Kb),103884.0,1320.0,15159.0,6036.0,0.0,0.0,0.0
366,Coty,8648.5,-3784.2,17665.4,3924.4,19000,http://www.coty.com,190278.0,0.0,0/100,0/100,0/10,5780.0,12660.0,65536.0,3.54% (Text size 2.26Kb and  Code size 61.73Kb),,,,,,,
368,Thrivent Financial for Lutherans,8611.7,968.1,102478.3,-,3235,http://www.thrivent.com,55212.0,0.0,0/100,0/100,0/10,19920.0,43630.0,65536.0,25.19% (Text size 16.12Kb and  Code size 47.88Kb),20429.0,14230.0,65460.0,125260.0,223.0,709.0,7322.0
369,Autoliv,8547.6,461.5,6771.2,4017.4,61957,http://www.autoliv.com,334182.0,0.0,0/100,0/100,0/10,3290.0,7210.0,64204.8,28.79% (Text size 18.05Kb and  Code size 44.65Kb),,,,,,,
370,SpartanNash,8536.1,5.7,2275.6,520.5,13800,http://www.spartannash.com,358123.0,0.0,0/100,0/100,0/10,3070.0,6720.0,64563.2,14.86% (Text size 9.37Kb and  Code size 53.68Kb),,,,,,,
371,Eversource Energy,8526.5,909.1,41123.9,25835.3,8234,http://www.eversource.com,19033.0,0.0,0/100,0/100,0/10,57790.0,126570.0,65536.0,38.13% (Text size 24.4Kb and  Code size 39.6Kb),,,,,,,
372,Darden Restaurants,8510.4,713.4,5892.8,6580,184514,http://www.darden.com,64952.0,0.0,0/100,0/100,0/10,16940.0,37090.0,42844.16,25.98% (Text size 10.87Kb and  Code size 30.97Kb),,,,,,,
373,Chesapeake Energy,8489.0,-308,16193.0,337.7,2300,http://www.chk.com,532406.0,0.0,0/100,0/100,0/10,2070.0,4530.0,36659.2,17.8% (Text size 6.37Kb and  Code size 29.42Kb),,,,,,,
374,National Oilwell Varco,8479.0,-6095,13149.0,3793.9,34645,http://www.nov.com,77020.0,0.0,0/100,0/100,0/10,14280.0,31280.0,58204.16,20.39% (Text size 11.59Kb and  Code size 45.25Kb),31637.0,25853.0,66663.0,42662.0,577.0,887.0,2026.0
375,Fidelity National Financial,8469.0,1062,10677.0,6854.3,23484,http://www.fnf.com,198952.0,0.0,0/100,0/100,0/10,5530.0,12100.0,45639.68,12.91% (Text size 5.75Kb and  Code size 38.82Kb),,,,,,,
376,Erie Insurance Group,8443.3,551,23346.7,-,5778,http://www.erieinsurance.com,85450.0,0.0,0/100,0/100,0/10,12870.0,28190.0,65536.0,34.87% (Text size 22.31Kb and  Code size 41.69Kb),,,,,,,
377,Oshkosh,8382.0,579.4,5566.3,4394.4,15400,http://www.oshkoshcorporation.com,3542745.0,0.0,0/100,0/100,0/10,310.0,678.9,18544.64,16.11% (Text size 2.92Kb and  Code size 15.19Kb),,,,,,,
378,Casey's General Stores,8364.9,203.9,3731.4,4874.8,26866,http://www.caseys.com,97404.0,0.0,0/100,0/100,0/10,11290.0,24730.0,65536.0,21.98% (Text size 14.07Kb and  Code size 49.93Kb),,,,,,,
379,WESCO International,8358.9,223.4,5017.6,956.8,9500,http://www.wesco.com,240185.0,0.0,0/100,0/100,0/10,4580.0,10030.0,19476.48,38.12% (Text size 7.25Kb and  Code size 11.77Kb),43747.0,13223.0,24752.0,43557.0,0.0,0.0,0.0
380,Tractor Supply,8351.9,562.4,5289.3,9809.9,24000,http://www.tractorsupply.com,12332.0,0.0,0/100,0/100,0/10,89200.0,195340.0,65536.0,11.14% (Text size 7.13Kb and  Code size 56.87Kb),609.0,712838.0,5029865.0,2452968.0,21959.0,247845.0,101698.0
