Rank,Name,Revenue($m),Profits($m),Assets($m),Market Value($m),Employees,Website,Alexa Rank,Back Links,Page Authority,Domain Authority,Moz Rank,Pageviews,Worth,Page Size,Code to Text Ratio,Semrush Rank,Keywords,Organic Traffic,Cost (in USD),Adwords Keywords,Adwords Traffic,Adwords Buget (in USD)
549,CACI International,4986.3,265.6,5086.8,5293.9,22100,http://www.caci.com,76343.0,0.0,0/100,0/100,0/10,14410.0,31550.0,24698.88,17.64% (Text size 4.25Kb and  Code size 19.87Kb),,,,,,,
550,Electronic Arts,4950.0,1019,8957.0,29016.7,9700,http://www.ea.com,762.0,0.0,0/100,0/100,0/10,1440000.0,3160000.0,65536.0,11.05% (Text size 7.07Kb and  Code size 56.93Kb),380.0,780838.0,9009658.0,30948637.0,117.0,38842.0,71845.0
551,Vulcan Materials,4929.1,617.7,10648.8,14325.2,9173,http://www.vulcanmaterials.com,578869.0,495.0,47.48/100,51.6/100,4.91/10,1900.0,4160.0,63170.56,27.61% (Text size 17.03Kb and  Code size 44.66Kb),41136.0,2876.0,26629.0,14716.0,0.0,0.0,0.0
552,TreeHouse Foods,4926.9,-361,5139.4,2484,10800,http://www.treehousefoods.com,677029.0,0.0,0/100,0/100,0/10,1620.0,3560.0,46694.4,17.7% (Text size 8.07Kb and  Code size 37.52Kb),108855.0,4925.0,15227.0,9829.0,0.0,0.0,0.0
553,Global Payments,4911.9,430.6,44480.2,43287.5,24000,http://www.globalpaymentsinc.com,252639.0,0.0,0/100,0/100,0/10,4350.0,9530.0,65536.0,32.43% (Text size 20.76Kb and  Code size 43.24Kb),,,,,,,
554,Hanover Insurance Group,4897.4,425.1,12490.5,3457.4,4300,http://www.hanover.com,155829.0,0.0,0/100,0/100,0/10,7060.0,15460.0,59136.0,14.9% (Text size 8.61Kb and  Code size 49.14Kb),,,,,,,
557,YRC Worldwide,4871.2,-104,1831.6,60.6,29000,http://www.yrcw.com,1170067.0,0.0,0/100,0/100,0/10,940.0,2060.0,26890.24,26.95% (Text size 7.08Kb and  Code size 19.18Kb),,,,,,,
558,CME Group,4868.0,2116.5,75215.3,61984.7,4360,http://www.cmegroup.com,15272.0,0.0,0/100,0/100,0/10,72030.0,157740.0,65536.0,43.85% (Text size 28.06Kb and  Code size 35.94Kb),4282.0,88539.0,389641.0,765616.0,929.0,4489.0,11878.0
561,Moody's,4829.0,1422,10265.0,39594.4,11081,http://www.moodys.com,51933.0,0.0,0/100,0/100,0/10,21180.0,46380.0,,,,,,,,,
563,Carlisle,4811.6,472.8,5496.0,6976.9,14000,http://www.carlisle.com,773950.0,0.0,0/100,0/100,0/10,1420.0,3110.0,65536.0,8.57% (Text size 5.48Kb and  Code size 58.52Kb),,,,,,,
564,Sealed Air,4791.1,263,5765.2,3821.9,16500,http://www.sealedair.com,243706.0,0.0,0/100,0/100,0/10,4510.0,9880.0,49879.04,6.37% (Text size 3.1Kb and  Code size 45.61Kb),,,,,,,
565,A-Mark Precious Metals,4783.2,2.2,705.4,86.3,183,http://www.amark.com,1457686.0,0.0,0/100,0/100,0/10,754.0,1650.0,65536.0,18.25% (Text size 11.68Kb and  Code size 52.32Kb),,,,,,,
566,Watsco,4770.4,246,2556.2,6049.8,5800,http://www.watsco.com,1463931.0,0.0,0/100,0/100,0/10,751.0,1640.0,,,,,,,,,
567,Taylor Morrison Home,4762.1,254.7,5245.7,1478.9,2300,http://www.taylormorrison.com,136454.0,0.0,0/100,0/100,0/10,8060.0,17650.0,65536.0,5.6% (Text size 3.58Kb and  Code size 60.42Kb),20153.0,59425.0,112466.0,144338.0,690.0,3586.0,6539.0
568,IAC/InterActiveCorp,4757.1,431.1,8332.8,15191.5,8700,http://www.iac.com,245190.0,0.0,0/100,0/100,0/10,4490.0,9830.0,39526.4,17.58% (Text size 6.79Kb and  Code size 31.82Kb),,,,,,,
569,Leggett & Platt,4752.5,333.8,4816.4,3528.4,22000,http://www.leggett.com,854040.0,0.0,0/100,0/100,0/10,1290.0,2820.0,18872.32,33.6% (Text size 6.19Kb and  Code size 12.24Kb),,,,,,,
570,OneMain Holdings,4749.0,855,22817.0,2604,9700,www.archrock.com,2543116.0,0.0,0/100,0/100,0/10,432.0,949.0,20111.36,40.22% (Text size 7.9Kb and  Code size 11.74Kb),195510.0,726.0,5876.0,1878.0,93.0,32.0,39.0
572,Martin Marietta Materials,4739.1,611.9,10131.6,11769.9,8846,http://www.martinmarietta.com,469921.0,0.0,0/100,0/100,0/10,2340.0,5120.0,23357.44,17.36% (Text size 3.96Kb and  Code size 18.85Kb),,,,,,,
574,Hasbro,4720.2,520.5,8855.6,9793.5,5600,http://www.hasbro.com,23328.0,0.0,0/100,0/100,0/10,47150.0,103270.0,215.04,4.76% (Text size 0.01Kb and  Code size 0.2Kb),1228.0,164229.0,2569228.0,1067505.0,0.0,0.0,0.0
576,Terex,4680.3,54.4,3195.6,1015.3,9500,http://www.terex.com,178010.0,0.0,0/100,0/100,0/10,6180.0,13530.0,6860.8,22.8% (Text size 1.53Kb and  Code size 5.17Kb),38505.0,7530.0,32058.0,77902.0,763.0,1148.0,3137.0
578,FMC,4661.9,477.4,9872.7,10574,6400,http://www.fmc.com,353942.0,0.0,0/100,0/100,0/10,3110.0,6800.0,65536.0,12.51% (Text size 8.01Kb and  Code size 55.99Kb),,,,,,,
579,Boise Cascade,4643.4,80.9,1693.4,932.1,6010,http://www.bc.com,207161.0,0.0,0/100,0/100,0/10,5310.0,11630.0,46725.12,6.9% (Text size 3.15Kb and  Code size 42.48Kb),,,,,,,
581,Continental Resources,4631.9,775.6,15727.9,2789.4,1260,http://www.clr.com,1621044.0,0.0,0/100,0/100,0/10,678.0,1480.0,21729.28,12.04% (Text size 2.55Kb and  Code size 18.67Kb),1513638.0,384.0,375.0,447.0,0.0,0.0,0.0
582,Peabody Energy,4623.4,-211.3,6542.8,281.6,6600,http://www.peabodyenergy.com,,,,,,,,,,,,,,,,
584,Greif,4595.0,171,5426.7,1698.1,17000,http://www.greif.com,408489.0,0.0,0/100,0/100,0/10,2690.0,5900.0,65536.0,56.39% (Text size 36.09Kb and  Code size 27.91Kb),,,,,,,
585,Concho Resources,4592.0,-705,24732.0,8428.9,1453,http://www.concho.com,898636.0,0.0,0/100,0/100,0/10,1220.0,2680.0,31006.72,13.75% (Text size 4.16Kb and  Code size 26.12Kb),87687.0,1165.0,18825.0,7935.0,0.0,0.0,0.0
586,Hubbell,4591.0,400.9,4903.0,6239.4,18800,http://www.hubbell.com,86764.0,0.0,0/100,0/100,0/10,12680.0,27760.0,65536.0,67.86% (Text size 43.43Kb and  Code size 20.57Kb),,,,,,,
587,CF Industries Holdings,4590.0,493.1,12171.9,5879.9,2987,http://www.cfindustries.com,1385702.0,0.0,0/100,0/100,0/10,793.0,1740.0,32163.84,38.64% (Text size 12.14Kb and  Code size 19.27Kb),,,,,,,
590,Brunswick,4556.7,-131,3564.4,2806.8,12828,http://www.brunswick.com,250504.0,0.0,0/100,0/100,0/10,4390.0,9610.0,9728.0,15.15% (Text size 1.44Kb and  Code size 8.06Kb),,,,,,,
591,KB Home,4552.7,268.8,5015.5,1630.8,2140,http://www.kbhome.com,99999999.0,0.0,0/100,0/100,0/10,11.0,21.9,65536.0,24.64% (Text size 15.77Kb and  Code size 48.23Kb),,,,,,,
593,Mattel,4504.6,-213.5,5325.2,3055.9,24000,http://www.mattel.com,24344.0,0.0,0/100,0/100,0/10,45190.0,98960.0,65536.0,8.62% (Text size 5.52Kb and  Code size 58.48Kb),1215.0,339932.0,2595491.0,785743.0,517.0,39503.0,20435.0
594,Ryerson Holding,4501.6,82.4,2021.5,199.3,4500,http://www.ryerson.com,401644.0,0.0,0/100,0/100,0/10,2740.0,5990.0,65536.0,54.59% (Text size 34.94Kb and  Code size 29.06Kb),,,,,,,
595,Silgan Holdings,4489.9,193.8,4931.1,3214.8,13220,http://www.silganholdings.com,4614951.0,0.0,0/100,0/100,0/10,238.0,518.3,8990.72,22.47% (Text size 1.97Kb and  Code size 6.81Kb),753877.0,221.0,953.0,113.0,0.0,0.0,0.0
597,Intuitive Surgical,4478.5,1379.3,9733.2,57432,7326,http://www.intuitivesurgical.com,611348.0,0.0,0/100,0/100,0/10,1800.0,3940.0,65536.0,24.13% (Text size 15.44Kb and  Code size 48.56Kb),,,,,,,
598,Warner Music Group,4475.0,256,6017.0,-,5400,http://www.wmg.com,119340.0,0.0,0/100,0/100,0/10,9220.0,20180.0,65536.0,14.35% (Text size 9.18Kb and  Code size 54.82Kb),78024.0,3986.0,12089.0,52595.0,0.0,0.0,0.0
600,Tutor Perini,4450.8,-387.7,4485.8,339.2,9100,http://www.tutorperini.com,797811.0,2.0,33.23/100,38.95/100,1.27/10,1380.0,3010.0,9492.48,37.82% (Text size 3.51Kb and  Code size 5.77Kb),147030.0,686.0,5407.0,17347.0,0.0,0.0,0.0
601,Juniper Networks,4445.4,345,8837.7,6326.3,9419,http://www.juniper.net,14337.0,0.0,0/100,0/100,0/10,76720.0,168020.0,56535.04,0.26% (Text size 0.14Kb and  Code size 55.06Kb),,,,,,,
602,Noble Energy,4438.0,-1512,20647.0,2929.6,2282,http://www.nobleenergyinc.com,1038083.0,0.0,0/100,0/100,0/10,1060.0,2320.0,63723.52,35.08% (Text size 21.83Kb and  Code size 40.4Kb),,,,,,,
604,Tiffany,4424.0,541.1,6660.1,15694.3,14100,http://www.tiffany.com,18269.0,0.0,0/100,0/100,0/10,60210.0,131860.0,65536.0,41.97% (Text size 26.86Kb and  Code size 37.14Kb),,,,,,,
605,EQT,4416.5,-1221.7,18809.2,1806.1,647,http://www.eqt.com,,,,,,,,,,,,,,,,
606,Universal Forest Products,4416.0,179.7,1889.5,2296.8,12000,http://www.ufpi.com,790438.0,28.0,44.27/100,50.25/100,4.59/10,1390.0,3040.0,62248.96,61.52% (Text size 37.4Kb and  Code size 23.39Kb),94683.0,5293.0,9687.0,12375.0,0.0,0.0,0.0
608,Antero Resources,4408.7,-340.1,15197.6,204.4,547,http://www.anteroresources.com,923039.0,0.0,0/100,0/100,0/10,1190.0,2610.0,65536.0,31.74% (Text size 20.31Kb and  Code size 43.69Kb),,,,,,,
609,Meritor,4388.0,291,2815.0,979.3,9100,http://www.meritor.com,273544.0,0.0,0/100,0/100,0/10,4020.0,8800.0,,,,,,,,,
610,Broadridge Financial Solutions,4362.2,482.1,3880.7,10886.7,11000,http://www.broadridge.com,100372.0,0.0,0/100,0/100,0/10,10960.0,24000.0,65536.0,21.91% (Text size 14.02Kb and  Code size 49.97Kb),33599.0,12889.0,56074.0,99078.0,720.0,422.0,2726.0
611,Church & Dwight,4357.7,615.9,6657.4,15773.9,4800,http://www.churchdwight.com,387095.0,0.0,0/100,0/100,0/10,2840.0,6220.0,34498.56,11.84% (Text size 3.99Kb and  Code size 29.7Kb),,,,,,,
613,Edwards Lifesciences,4348.0,1046.9,6488.1,39105.8,13900,http://www.edwards.com,120606.0,0.0,0/100,0/100,0/10,9120.0,19970.0,65536.0,18.68% (Text size 11.95Kb and  Code size 52.05Kb),,,,,,,
614,Colfax,4326.3,-527.6,7386.8,2339.3,15000,http://www.colfaxcorp.com,1102635.0,0.0,0/100,0/100,0/10,997.0,2180.0,21043.2,17.82% (Text size 3.66Kb and  Code size 16.89Kb),127673.0,1494.0,12444.0,31614.0,0.0,0.0,0.0
615,Insperity,4314.8,151.1,1395.0,1468.9,3500,http://www.insperity.com,16064.0,0.0,0/100,0/100,0/10,68480.0,149960.0,,,12535.0,61262.0,195285.0,645571.0,751.0,9774.0,110566.0
616,American Eagle Outfitters,4308.2,191.3,3328.7,1329.3,27000,http://www.ae.com,3592.0,0.0,0/100,0/100,0/10,306240.0,670660.0,65536.0,9.35% (Text size 5.98Kb and  Code size 58.02Kb),,,,,,,
619,Iron Mountain,4262.6,267.4,13816.8,6838.8,25000,http://www.ironmountain.com,138444.0,0.0,0/100,0/100,0/10,7950.0,17400.0,65536.0,21.93% (Text size 14.04Kb and  Code size 49.96Kb),22594.0,55577.0,98917.0,363994.0,1168.0,7345.0,52709.0
621,Gartner,4245.3,233.3,7151.3,8871.8,16724,http://www.gartner.com,6021.0,0.0,0/100,0/100,0/10,182690.0,400100.0,65536.0,32.47% (Text size 20.78Kb and  Code size 43.22Kb),,,,,,,
623,Ingles Markets,4202.0,81.6,1867.3,732.6,18630,http://www.ingles-markets.com,,,,,,,,,,,,,,,,
624,Monster Beverage,4200.8,1107.8,5150.4,30205.8,3092,http://www.monsterbevcorp.com,870110.0,0.0,0/100,0/100,0/10,1260.0,2770.0,23265.28,49.47% (Text size 11.24Kb and  Code size 11.48Kb),225944.0,3480.0,5536.0,8101.0,0.0,0.0,0.0
625,Murphy Oil,4194.0,1149.7,11718.5,941.4,822,http://www.murphyoilcorp.com,916551.0,1121.0,43/100,52/100,4.3/10,1200.0,2630.0,12595.2,8.84% (Text size 1.09Kb and  Code size 11.21Kb),,,,,,,
628,Bloomin' Brands,4139.4,130.6,3592.7,621.4,94000,http://www.bloominbrands.com,429541.0,0.0,0/100,0/100,0/10,2560.0,5610.0,36945.92,57.71% (Text size 20.82Kb and  Code size 15.26Kb),,,,,,,
630,Quad/Graphics,4137.2,-156.3,2417.1,136,19600,http://www.qg.com,246062.0,0.0,0/100,0/100,0/10,4470.0,9790.0,,,,,,,,,
631,Flowers Foods,4124.0,164.5,3177.8,4341.3,9700,http://www.flowersfoods.com,967390.0,0.0,0/100,0/100,0/10,1140.0,2490.0,49684.48,22.82% (Text size 11.07Kb and  Code size 37.45Kb),,,,,,,
632,CUNA Mutual Group,4122.7,219.6,24609.6,-,3600,http://www.cunamutual.com,208271.0,0.0,0/100,0/100,0/10,5280.0,11560.0,65536.0,40.56% (Text size 25.96Kb and  Code size 38.04Kb),,,,,,,
633,Allegheny Technologies,4122.5,257.6,5634.6,1076.3,8100,http://www.atimetals.com,585482.0,0.0,0/100,0/100,0/10,1880.0,4110.0,65536.0,25.58% (Text size 16.37Kb and  Code size 47.63Kb),,,,,,,
634,Old Dominion Freight Line,4109.1,615.5,3995.6,15691.6,20105,http://www.odfl.com,73272.0,0.0,0/100,0/100,0/10,15010.0,32880.0,31590.4,13.38% (Text size 4.13Kb and  Code size 26.72Kb),,,,,,,
635,Landstar System,4089.6,227.7,1427.7,3784.9,1333,http://www.landstar.com,727225.0,0.0,0/100,0/100,0/10,1510.0,3310.0,,,,,,,,,
636,American National Insurance,4070.1,620.4,28597.6,2215,4640,http://www.anico.com,276887.0,0.0,0/100,0/100,0/10,3970.0,8700.0,59453.44,19.87% (Text size 11.54Kb and  Code size 46.52Kb),,,,,,,
637,Snap-on,4067.7,693.5,5693.5,5951.1,12800,http://www.snapon.com,50995.0,0.0,0/100,0/100,0/10,21570.0,47240.0,65536.0,18.16% (Text size 11.62Kb and  Code size 52.38Kb),,,,,,,
638,Brookdale Senior Living,4057.1,-267.9,7194.4,574.9,48400,http://www.brookdale.com,147258.0,0.0,0/100,0/100,0/10,7470.0,16360.0,,,,,,,,,
639,Amkor Technology,4052.7,120.9,4695.6,1877.8,29650,http://www.amkor.com,819855.0,0.0,0/100,0/100,0/10,1340.0,2930.0,47923.2,15.8% (Text size 7.39Kb and  Code size 39.4Kb),,,,,,,
642,Dentsply Sirona,4029.2,262.9,8602.9,8598.5,15200,http://www.dentsplysirona.com,110308.0,0.0,0/100,0/100,0/10,9970.0,21840.0,65536.0,2.81% (Text size 1.8Kb and  Code size 62.2Kb),,,,,,,
643,CNO Financial Group,4015.8,409.4,33630.9,1795.1,3300,http://www.cnoinc.com,335941.0,0.0,0/100,0/100,0/10,3270.0,7170.0,19107.84,24.27% (Text size 4.53Kb and  Code size 14.13Kb),,,,,,,
644,Urban Outfitters,3983.8,168.1,3315.6,1392.3,16800,http://www.urbanoutfittersinc.com,,,,,,,,,,,,,,,,
645,Sabre,3975.0,158.6,5690.0,1623.4,9250,http://www.sabre.com,21048.0,0.0,0/100,0/100,0/10,52260.0,114450.0,46336.0,26.49% (Text size 11.99Kb and  Code size 33.26Kb),,,,,,,
646,Mercury General,3972.5,320.1,5889.2,2254.2,4500,http://www.mercuryinsurance.com,69229.0,0.0,0/100,0/100,0/10,15890.0,34800.0,24135.68,18.64% (Text size 4.39Kb and  Code size 19.18Kb),10807.0,68837.0,255358.0,2816780.0,0.0,0.0,0.0
649,Aaron's,3947.7,31.5,3297.8,1520.4,12100,http://www.aarons.com,88818.0,0.0,0/100,0/100,0/10,12380.0,27120.0,65536.0,11.24% (Text size 7.19Kb and  Code size 56.81Kb),,,,,,,
650,Flowserve,3944.9,253.7,4919.6,3127.2,17000,http://www.flowserve.com,163598.0,0.0,0/100,0/100,0/10,6720.0,14720.0,65536.0,46.31% (Text size 29.63Kb and  Code size 34.36Kb),,,,,,,
653,Sally Beauty Holdings,3876.4,271.6,2098.4,943.6,30050,http://www.sallybeautyholdings.com,1163675.0,0.0,0/100,0/100,0/10,945.0,2070.0,29808.64,14.32% (Text size 4.17Kb and  Code size 24.95Kb),,,,,,,
654,ScanSource,3873.1,57.6,2067.3,542.1,2700,http://www.scansource.com,259191.0,0.0,0/100,0/100,0/10,4240.0,9290.0,65536.0,43.67% (Text size 27.95Kb and  Code size 36.05Kb),,,,,,,
655,Ventas,3872.8,433,24692.2,9992.7,516,http://www.ventasreit.com,1142953.0,0.0,0/100,0/100,0/10,962.0,2110.0,65536.0,9.51% (Text size 6.09Kb and  Code size 57.91Kb),,,,,,,
656,Country Financial,3868.1,167.3,15724.8,-,3839,http://www.countryfinancial.com,184462.0,0.0,0/100,0/100,0/10,5960.0,13060.0,65536.0,62.56% (Text size 40.04Kb and  Code size 23.96Kb),,,,,,,
657,TriNet Group,3856.0,212,2748.0,2589.1,2900,http://www.trinet.com,33280.0,1396.0,52.28/100,59.59/100,5.78/10,33050.0,72390.0,38266.88,17.09% (Text size 6.39Kb and  Code size 30.98Kb),21217.0,9266.0,58313.0,273523.0,206.0,893.0,6389.0
659,Comerica,3817.0,1198,73402.0,4117.7,7708,http://www.comerica.com,30534.0,0.0,0/100,0/100,0/10,36030.0,78900.0,33617.92,40.37% (Text size 13.25Kb and  Code size 19.58Kb),,,,,,,
660,Lennox International,3807.2,408.7,2034.9,7016.9,11200,http://www.lennoxinternational.com,512831.0,0.0,0/100,0/100,0/10,2140.0,4690.0,65536.0,59.77% (Text size 38.25Kb and  Code size 25.75Kb),228667.0,271.0,5886.0,7775.0,0.0,0.0,0.0
661,Timken,3789.9,362.1,4859.9,2451.8,18829,http://www.timken.com,149767.0,84.0,44/100,57.41/100,4.51/10,7340.0,16080.0,6359.04,0.85% (Text size 0.05Kb and  Code size 6.15Kb),22710.0,12866.0,53915.0,85777.0,0.0,0.0,0.0
662,Paychex,3772.5,1034.4,8676.0,22570.4,15450,http://www.paychex.com,6643.0,0.0,0/100,0/100,0/10,165590.0,362630.0,65536.0,30.33% (Text size 19.41Kb and  Code size 44.59Kb),,,,,,,
663,Amerco,3768.7,370.9,11891.7,5697,21900,http://www.amerco.com,1765026.0,0.0,0/100,0/100,0/10,623.0,1370.0,16332.8,45% (Text size 7.18Kb and  Code size 8.77Kb),402789.0,1343.0,2278.0,3874.0,0.0,0.0,0.0
664,Worthington Industries,3759.6,153.5,2510.8,1433.2,12000,http://www.worthingtonindustries.com,424184.0,0.0,0/100,0/100,0/10,2590.0,5680.0,65536.0,1.14% (Text size 0.73Kb and  Code size 63.27Kb),75377.0,2620.0,12526.0,3870.0,119.0,13.0,67.0
667,Penn Mutual Life Insurance,3705.1,396,36678.6,-,3318,http://www.pennmutual.com,222939.0,0.0,0/100,0/100,0/10,4930.0,10800.0,65536.0,2.73% (Text size 1.75Kb and  Code size 62.25Kb),,,,,,,
668,iHeartMedia,3683.5,-,11021.1,1073.8,11400,http://www.iheartmedia.com,85331.0,0.0,0/100,0/100,0/10,12890.0,28230.0,18903.04,29.57% (Text size 5.46Kb and  Code size 13Kb),28120.0,50519.0,76368.0,42205.0,0.0,0.0,0.0
669,Brink's,3683.2,29,3763.8,2625.2,64300,http://www.brinks.com,429363.0,0.0,0/100,0/100,0/10,2560.0,5610.0,65536.0,1.93% (Text size 1.23Kb and  Code size 62.77Kb),,,,,,,
670,Sentry Insurance Group,3680.8,324.3,19752.6,-,4217,http://www.sentry.com,331481.0,0.0,0/100,0/100,0/10,3320.0,7260.0,59566.08,36.21% (Text size 21.06Kb and  Code size 37.11Kb),,,,,,,
671,Acuity Brands,3672.7,330.4,3172.4,3393.8,12000,http://www.acuitybrands.com,73991.0,0.0,0/100,0/100,0/10,14870.0,32560.0,65536.0,24.32% (Text size 15.57Kb and  Code size 48.43Kb),,,,,,,
672,Hub Group,3668.1,107.2,1991.6,1557.3,5000,http://www.hubgroup.com,346751.0,0.0,0/100,0/100,0/10,3170.0,6950.0,29552.64,13.4% (Text size 3.87Kb and  Code size 25Kb),,,,,,,
673,Meritage Homes,3666.9,249.7,3398.2,1372.7,1510,http://www.meritagehomes.com,176317.0,0.0,0/100,0/100,0/10,6240.0,13660.0,65536.0,46.16% (Text size 29.54Kb and  Code size 34.45Kb),,,,,,,
674,MRC Global,3662.0,39,2325.0,349.6,3345,http://www.mrcglobal.com,678618.0,0.0,0/100,0/100,0/10,1620.0,3550.0,65536.0,10.4% (Text size 6.66Kb and  Code size 57.34Kb),70924.0,9622.0,21088.0,19658.0,2.0,0.0,0.0
675,Alliant Energy,3647.7,557.2,16700.7,11832.5,3597,http://www.alliantenergy.com,82737.0,0.0,0/100,0/100,0/10,13300.0,29120.0,65536.0,43.92% (Text size 28.11Kb and  Code size 35.89Kb),,,,,,,
678,Abercrombie & Fitch,3623.1,39.4,3549.7,559.9,26000,http://www.abercrombie.com,9267.0,0.0,0/100,0/100,0/10,118700.0,259950.0,,,,,,,,,
682,American Water Works,3610.0,621,22682.0,21642.7,6800,http://www.amwater.com,39388.0,0.0,0/100,0/100,0/10,27930.0,61160.0,23705.6,13.43% (Text size 3.11Kb and  Code size 20.04Kb),,,,,,,
683,Albemarle,3589.4,533.2,9860.9,5993.2,6000,http://www.albemarle.com,401630.0,0.0,0/100,0/100,0/10,2740.0,5990.0,26767.36,31.19% (Text size 8.15Kb and  Code size 17.99Kb),,,,,,,
684,Ciena,3572.1,253.4,3893.3,6111,6383,http://www.ciena.com,90692.0,0.0,0/100,0/100,0/10,12130.0,26560.0,65536.0,57.1% (Text size 36.54Kb and  Code size 27.46Kb),,,,,,,
685,Barnes & Noble,3552.7,3.8,1705.6,-,15538,http://www.barnesandnobleinc.com,457775.0,0.0,0/100,0/100,0/10,2400.0,5260.0,65536.0,40.36% (Text size 25.83Kb and  Code size 38.17Kb),,,,,,,
686,Weis Markets,3543.3,68,1675.6,1120.6,23000,http://www.weismarkets.com,113174.0,0.0,0/100,0/100,0/10,9720.0,21290.0,45895.68,13.02% (Text size 5.83Kb and  Code size 38.99Kb),9938.0,13553.0,140988.0,84589.0,0.0,0.0,0.0
689,Carter's,3519.3,263.8,2753.1,2887.4,20300,http://www.carters.com,11450.0,0.0,0/100,0/100,0/10,96070.0,210390.0,65536.0,0.59% (Text size 0.38Kb and  Code size 63.62Kb),,,,,,,
690,Stifel Financial,3515.0,448.4,24610.2,2870.3,8205,http://www.stifel.com,100957.0,0.0,0/100,0/100,0/10,10900.0,23860.0,22988.8,37.03% (Text size 8.32Kb and  Code size 14.14Kb),,,,,,,
691,Mednax,3513.5,-1497.7,4145.9,981,9480,http://www.mednax.com,439077.0,0.0,0/100,0/100,0/10,2510.0,5490.0,61020.16,25.36% (Text size 15.11Kb and  Code size 44.48Kb),,,,,,,
692,Equifax,3507.6,-398.8,7909.0,14569.4,11200,http://www.equifax.com,12080.0,0.0,0/100,0/100,0/10,91060.0,199420.0,65536.0,21.97% (Text size 14.06Kb and  Code size 49.94Kb),,,,,,,
693,Kar Auction Services,3505.5,188.5,6581.2,1546.4,13311,http://www.karauctionservices.com,596533.0,0.0,0/100,0/100,0/10,1840.0,4040.0,14356.48,22.4% (Text size 3.14Kb and  Code size 10.88Kb),,,,,,,
695,Medical Mutual of Ohio,3502.7,83.7,2541.8,-,2801,http://www.medmutual.com,74672.0,0.0,0/100,0/100,0/10,14730.0,32260.0,55398.4,24.42% (Text size 13.21Kb and  Code size 40.89Kb),,,,,,,
696,Sprague Resources,3502.4,31.3,1275.5,299.1,770,http://www.spragueenergy.com,1109612.0,0.0,0/100,0/100,0/10,991.0,2170.0,24381.44,35.11% (Text size 8.36Kb and  Code size 15.45Kb),195529.0,3100.0,6786.0,19871.0,0.0,0.0,0.0
699,Pitney Bowes,3477.7,194.6,5466.9,349.6,11000,http://www.pb.com,14158.0,0.0,0/100,0/100,0/10,77690.0,170150.0,65536.0,47.03% (Text size 30.1Kb and  Code size 33.9Kb),,,,,,,
700,Applied Industrial Technologies,3472.7,144,2331.7,1768.4,6650,http://www.applied.com,214234.0,0.0,0/100,0/100,0/10,5130.0,11240.0,65536.0,39.34% (Text size 25.18Kb and  Code size 38.82Kb),,,,,,,
701,Pinnacle West Capital,3471.2,538.3,18479.2,8521.8,6210,http://www.pinnaclewest.com,1647785.0,0.0,0/100,0/100,0/10,667.0,1460.0,42844.16,5.92% (Text size 2.48Kb and  Code size 39.36Kb),,,,,,,
702,American Equity Investment Life Holding,3464.3,246.1,69696.6,1716.3,608,http://www.american-equity.com,304380.0,0.0,0/100,0/100,0/10,3610.0,7910.0,65536.0,0.53% (Text size 0.34Kb and  Code size 63.66Kb),,,,,,,
705,Calumet Specialty Products Partners,3452.6,-43.6,1857.8,81.7,1500,http://www.calumetspecialty.com,2026458.0,0.0,0/100,0/100,0/10,542.0,1190.0,,,,,,,,,
706,Steelcase,3443.2,126,2142.4,1156.8,12700,http://www.steelcase.com,41184.0,0.0,0/100,0/100,0/10,26710.0,58490.0,65536.0,10.35% (Text size 6.62Kb and  Code size 57.38Kb),,,,,,,
707,Sanderson Farms,3440.3,53.3,1774.1,2742.4,17055,http://www.sandersonfarms.com,792071.0,0.0,0/100,0/100,0/10,1390.0,3040.0,65536.0,0.69% (Text size 0.44Kb and  Code size 63.55Kb),,,,,,,
708,WABCO Holdings,3421.4,245.8,4037.1,6924.1,13911,http://www.wabco-auto.com,223742.0,60.0,46.96/100,58.98/100,4.89/10,4920.0,10770.0,65536.0,19.67% (Text size 12.59Kb and  Code size 51.41Kb),240544.0,2643.0,2846.0,1618.0,0.0,0.0,0.0
709,Clean Harbors,3412.2,97.7,4108.9,2866.3,14400,http://www.cleanharbors.com,365295.0,0.0,0/100,0/100,0/10,3010.0,6590.0,65536.0,23.82% (Text size 15.24Kb and  Code size 48.75Kb),,,,,,,
710,Puget Energy,3401.1,210.7,14659.9,-,3130,http://www.pugetenergy.com,,,,,,,,,,,,,,,,
712,Granite Construction,3389.8,-105.4,2633.8,709.5,4200,http://www.graniteconstruction.com,842228.0,0.0,0/100,0/100,0/10,1310.0,2860.0,37550.08,15.35% (Text size 5.63Kb and  Code size 31.04Kb),,,,,,,
713,Carlyle Group,3377.0,380.9,13808.8,7539.2,1775,http://www.carlyle.com,135395.0,0.0,0/100,0/100,0/10,8120.0,17790.0,65536.0,20.47% (Text size 13.1Kb and  Code size 50.9Kb),,,,,,,
714,Skyworks Solutions,3376.8,853.6,4839.6,15155.5,9000,http://www.skyworksinc.com,181878.0,0.0,0/100,0/100,0/10,6050.0,13240.0,62064.64,45.1% (Text size 27.33Kb and  Code size 33.28Kb),,,,,,,
715,Aleris,3375.9,-11.8,2712.2,-,5600,http://www.aleris.com,2058992.0,0.0,0/100,0/100,0/10,534.0,1170.0,31201.28,18.72% (Text size 5.71Kb and  Code size 24.77Kb),,,,,,,
716,Triple-S Management,3375.6,92.9,2818.8,345,3992,http://www.triplesmanagement.com,,,,,,,,,,,,,,,,
