,Rank,Company,Revenue($m),Profits($m),Assets($m),Market Value($m),Employees,Domain,Alexa Rank,Back Links,Page Authority,Domain Authority,Moz Rank,Page Views,Domain Worth,Code Size,Text to Code Ratio,Semrush Rank,Organic Keywords,Organic Traffic,Opportunity Cost,Adwords Keywords,Adwords Traffic,Adwords Budget
268,278,W.W. Grainger,11486.0,849,6005.0,13337.8,24550,grainger.com,6864,0,0/,0/,0/,160.26K,350.96K,,'0.68%,1149,1092082,2922886,22740926$,46396,1077504,3424588$
269,279,Ball,11474.0,566,17360.0,21065.3,18300,ball.com,174745,0,0/,0/,0/,6.29K,13.78K,,'0.68%,,,,,,,
270,280,Fox,11389.0,1595,19509.0,14142.9,7700,21cf.com,520148,0,0/,0/,0/,2.11K,4.63K,,'0.68%,,,,,,,
271,281,Universal Health Services,11378.3,814.9,11668.3,8593.2,79050,uhsinc.com,151667,25,45,46,4.,7.25K,15.88K,,'0.68%,41666,9382,26290,79818$,0,0,0$
272,282,Baxter International,11362.0,1001,18193.0,41180.1,50000,baxter.com,141079,0,0/,0/,0/,7.8K,17.07K,,'0.68%,,,,,,,
273,283,Norfolk Southern,11296.0,2722,37923.0,37537.3,24587,nscorp.com,187902,0,0/,0/,0/,5.85K,12.82K,,'0.68%,,,,,,,
274,284,Navistar International,11251.0,221,6917.0,1640.6,12300,navistar.com,99999999,0,0/,0/,0/,11,21.9,,'0.68%,,,,,,,
275,285,Adobe,11171.3,2951.5,20762.4,153328.3,22634,adobe.com,53,0,0/,0/,0/,20.75M,45.45M,,'0.68%,268,2789988,12689250,181839960$,54381,1142514,28507509$
276,286,J.C. Penney,11167.0,-268,7989.0,115.6,90000,jcpenney.com,2919,0,0/,0/,0/,376.84K,825.28K,,'0.68%,,,,,,,
277,287,Discovery,11144.0,2069,33735.0,9503.1,9200,discovery.com,22076,0,0/,0/,0/,49.83K,109.12K,,'0.68%,,,,,,,
278,288,Keurig Dr Pepper,11120.0,1254,49518.0,34147.6,25500,keurigdrpepper.com,312489,0,0/,0/,0/,3.52K,7.71K,,'0.68%,76343,2297,22442,32433$,0,0,0$
279,289,Leidos Holdings,11094.0,667,9367.0,13000.3,34000,leidos.com,66153,0,0/,0/,0/,16.63K,36.41K,,'0.68%,,,,,,,
280,290,IQVIA Holdings,11088.0,191,23251.0,20797.2,67000,iqvia.com,63380,0,0/,0/,0/,17.36K,38.01K,,'0.68%,,,,,,,
281,291,Reliance Steel & Aluminum,10973.8,701.5,8131.1,5856.3,15300,rsac.com,566678,0,0/,0/,0/,1.94K,4.25K,,'0.68%,,,,,,,
282,292,Nvidia,10918.0,2796,17315.0,161451.2,13775,nvidia.com,871,0,0/,0/,0/,1.26M,2.77M,,'0.68%,1150,944596,3001249,6328059$,446,28666,43348$
283,293,Entergy,10878.7,1241.2,51723.9,18870.6,13635,entergy.com,40873,0,0/,0/,0/,26.91K,58.94K,,'0.68%,,,,,,,
284,294,FirstEnergy,10850.0,912,42301.0,21666.4,12316,firstenergycorp.com,19682,0,0/,0/,0/,55.89K,122.39K,,'0.68%,,,,,,,
285,295,eBay,10800.0,1786,18174.0,23930.2,13300,ebay.com,48,0,0/,0/,0/,22.92M,50.19M,,'0.68%,28,40769191,110876471,48135057$,497847,7672885,7944741$
286,296,Boston Scientific,10735.0,4700,30565.0,45655.9,36000,bostonscientific.com,83374,0,0/,0/,0/,13.19K,28.89K,,'0.68%,13939,73749,171882,218380$,443,14054,56138$
287,297,Office Depot,10647.0,99,7311.0,867.7,40000,officedepot.com,3535,0,0/,0/,0/,311.17K,681.47K,,'0.68%,413,1265538,7928842,10709949$,34131,1175412,1756336$
