,Rank,Company,Revenue($m),Profits($m),Assets($m),Market Value($m),Employees,Domain,Alexa Rank,Back Links,Page Authority,Domain Authority,Moz Rank,Page Views,Domain Worth,Code Size,Text to Code Ratio,Semrush Rank,Organic Keywords,Organic Traffic,Opportunity Cost,Adwords Keywords,Adwords Traffic,Adwords Budget
527,554,Hanover Insurance Group,4897.4,425.1,12490.5,3457.4,4300,hanover.com,155829,0,0/,0/,0/,7.06K,15.46K,,'0.68%,,,,,,,
528,555,Camping World Holdings,4892.0,-60.6,3376.2,502.1,11508,campingworld.com,25933,0,0/,0/,0/,42.42K,92.89K,,'0.68%,,,,,,,
529,557,YRC Worldwide,4871.2,-104,1831.6,60.6,29000,yrcw.com,1170067,0,0/,0/,0/,940,2.06K,,'0.68%,,,,,,,
530,558,CME Group,4868.0,2116.5,75215.3,61984.7,4360,cmegroup.com,15272,0,0/,0/,0/,72.03K,157.74K,,'0.68%,4282,88539,389641,765616$,929,4489,11878$
531,559,Chewy,4846.7,-252.4,932.3,14943.5,12000,chewy.com,2662,0,0/,0/,0/,413.22K,904.96K,,'0.68%,683,723784,5147847,5447894$,44947,1920979,2515229$
532,561,Moody's,4829.0,1422,10265.0,39594.4,11081,moodys.com,51933,0,0/,0/,0/,21.18K,46.38K,,'0.68%,,,,,,,
533,562,Coca-Cola Consolidated,4826.5,11.4,3126.9,1954.7,15850,cokeconsolidated.com,510646,0,0/,0/,0/,2.15K,4.72K,,'0.68%,,,,,,,
534,563,Carlisle,4811.6,472.8,5496.0,6976.9,14000,carlisle.com,773950,0,0/,0/,0/,1.42K,3.11K,,'0.68%,,,,,,,
535,564,Sealed Air,4791.1,263,5765.2,3821.9,16500,sealedair.com,243706,0,0/,0/,0/,4.51K,9.88K,,'0.68%,,,,,,,
536,565,A-Mark Precious Metals,4783.2,2.2,705.4,86.3,183,amark.com,1457686,0,0/,0/,0/,754,1.65K,,'0.68%,,,,,,,
537,566,Watsco,4770.4,246,2556.2,6049.8,5800,watsco.com,1463931,0,0/,0/,0/,751,1.64K,,'0.68%,,,,,,,
538,567,Taylor Morrison Home,4762.1,254.7,5245.7,1478.9,2300,taylormorrison.com,136454,0,0/,0/,0/,8.06K,17.65K,,'0.68%,20153,59425,112466,144338$,690,3586,6539$
539,568,IAC/InterActiveCorp,4757.1,431.1,8332.8,15191.5,8700,iac.com,245190,0,0/,0/,0/,4.49K,9.83K,,'0.68%,,,,,,,
540,569,Leggett & Platt,4752.5,333.8,4816.4,3528.4,22000,leggett.com,854040,0,0/,0/,0/,1.29K,2.82K,,'0.68%,,,,,,,
541,570,OneMain Holdings,4749.0,855,22817.0,2604,9700,www.archrock.com,2543116,0,0/,0/,0/,432,949,,'0.68%,195510,726,5876,1878$,93,32,39$
542,571,Schneider National,4747.0,147,3660.1,3425.5,15650,schneider.com,126845,0,0/,0/,0/,8.67K,18.99K,,'0.68%,,,,,,,
543,572,Martin Marietta Materials,4739.1,611.9,10131.6,11769.9,8846,martinmarietta.com,469921,0,0/,0/,0/,2.34K,5.12K,,'0.68%,,,,,,,
544,574,Hasbro,4720.2,520.5,8855.6,9793.5,5600,hasbro.com,23328,0,0/,0/,0/,47.15K,103.27K,,'0.68%,1228,164229,2569228,1067505$,0,0,0$
545,575,Square,4713.5,375.4,4551.3,22797.6,3835,squareup.com,2903,0,0/,0/,0/,378.92K,829.83K,,'0.68%,1759,631838,1908807,21435938$,5670,89893,991774$
546,576,Terex,4680.3,54.4,3195.6,1015.3,9500,terex.com,178010,0,0/,0/,0/,6.18K,13.53K,,'0.68%,38505,7530,32058,77902$,763,1148,3137$
547,578,FMC,4661.9,477.4,9872.7,10574,6400,fmc.com,353942,0,0/,0/,0/,3.11K,6.8K,,'0.68%,,,,,,,
548,579,Boise Cascade,4643.4,80.9,1693.4,932.1,6010,bc.com,207161,0,0/,0/,0/,5.31K,11.63K,,'0.68%,,,,,,,
549,580,SS&C Technologies Holdings,4632.9,438.5,16741.1,11203.5,22800,ssctech.com,318401,0,0/,0/,0/,3.45K,7.56K,,'0.68%,,,,,,,
550,581,Continental Resources,4631.9,775.6,15727.9,2789.4,1260,clr.com,1621044,0,0/,0/,0/,678,1.48K,,'0.68%,1513638,384,375,447$,0,0,0$
551,583,Encompass Health,4605.0,358.7,6080.7,6302.7,35690,encompasshealth.com,159381,0,0/,0/,0/,6.9K,15.11K,,'0.68%,13520,56795,178715,838263$,20,16,24$
552,584,Greif,4595.0,171,5426.7,1698.1,17000,greif.com,408489,0,0/,0/,0/,2.69K,5.9K,,'0.68%,,,,,,,
553,585,Concho Resources,4592.0,-705,24732.0,8428.9,1453,concho.com,898636,0,0/,0/,0/,1.22K,2.68K,,'0.68%,87687,1165,18825,7935$,0,0,0$
554,586,Hubbell,4591.0,400.9,4903.0,6239.4,18800,hubbell.com,86764,0,0/,0/,0/,12.68K,27.76K,,'0.68%,,,,,,,
555,587,CF Industries Holdings,4590.0,493.1,12171.9,5879.9,2987,cfindustries.com,1385702,0,0/,0/,0/,793,1.74K,,'0.68%,,,,,,,
556,588,KLA,4568.9,1175.6,9008.5,22534.4,10020,kla-tencor.com,175590,0,0/,0/,0/,6.26K,13.72K,,'0.68%,,,,,,,
557,589,Genesis Healthcare,4565.8,14.6,4662.1,138.9,55000,genesishcc.com,314546,0,0/,0/,0/,3.5K,7.66K,,'0.68%,,,,,,,
558,590,Brunswick,4556.7,-131,3564.4,2806.8,12828,brunswick.com,250504,0,0/,0/,0/,4.39K,9.61K,,'0.68%,,,,,,,
559,591,KB Home,4552.7,268.8,5015.5,1630.8,2140,kbhome.com,99999999,0,0/,0/,0/,11,21.9,,'0.68%,,,,,,,
560,592,Globe Life,4527.5,760.8,25977.5,7729.4,3196,globelifeinsurance.com,193478,0,0/,0/,0/,5.69K,12.45K,,'0.68%,20020,4917,125859,817210$,2668,122079,1360785$
561,593,Mattel,4504.6,-213.5,5325.2,3055.9,24000,mattel.com,24344,0,0/,0/,0/,45.19K,98.96K,,'0.68%,1215,339932,2595491,785743$,517,39503,20435$
562,594,Ryerson Holding,4501.6,82.4,2021.5,199.3,4500,ryerson.com,401644,0,0/,0/,0/,2.74K,5.99K,,'0.68%,,,,,,,
563,595,Silgan Holdings,4489.9,193.8,4931.1,3214.8,13220,silganholdings.com,4614951,0,0/,0/,0/,238,518.3,,'0.68%,753877,221,953,113$,0,0,0$
564,596,Zebra Technologies,4485.0,544,4711.0,9916,8200,zebra.com,20854,0,0/,0/,0/,52.75K,115.52K,,'0.68%,,,,,,,
565,597,Intuitive Surgical,4478.5,1379.3,9733.2,57432,7326,intuitivesurgical.com,611348,0,0/,0/,0/,1.8K,3.94K,,'0.68%,,,,,,,
566,598,Warner Music Group,4475.0,256,6017.0,-,5400,wmg.com,119340,0,0/,0/,0/,9.22K,20.18K,,'0.68%,78024,3986,12089,52595$,0,0,0$
567,600,Tutor Perini,4450.8,-387.7,4485.8,339.2,9100,tutorperini.com,797811,2,33,38,1.,1.38K,3.01K,,'0.68%,147030,686,5407,17347$,0,0,0$
568,601,Juniper Networks,4445.4,345,8837.7,6326.3,9419,juniper.net,14337,0,0/,0/,0/,76.72K,168.02K,,'0.68%,,,,,,,
569,602,Noble Energy,4438.0,-1512,20647.0,2929.6,2282,nobleenergyinc.com,1038083,0,0/,0/,0/,1.06K,2.32K,,'0.68%,,,,,,,
570,603,Vertiv Holdings,4431.2,-140.8,4657.4,2840.8,19800,vertiv.com,154337,0,0/,0/,0/,7.13K,15.61K,,'0.68%,,,,,,,
571,604,Tiffany,4424.0,541.1,6660.1,15694.3,14100,tiffany.com,18269,0,0/,0/,0/,60.21K,131.86K,,'0.68%,,,,,,,
572,606,Universal Forest Products,4416.0,179.7,1889.5,2296.8,12000,ufpi.com,790438,28,44,50,4.,1.39K,3.04K,,'0.68%,94683,5293,9687,12375$,0,0,0$
573,607,Diebold Nixdorf,4408.7,-341.3,3790.6,272.8,22000,dieboldnixdorf.com,241549,0,0/,0/,0/,4.55K,9.97K,,'0.68%,77583,6433,18872,20448$,0,0,0$
574,608,Antero Resources,4408.7,-340.1,15197.6,204.4,547,anteroresources.com,923039,0,0/,0/,0/,1.19K,2.61K,,'0.68%,,,,,,,
575,609,Meritor,4388.0,291,2815.0,979.3,9100,meritor.com,273544,0,0/,0/,0/,4.02K,8.8K,,'0.68%,,,,,,,
576,610,Broadridge Financial Solutions,4362.2,482.1,3880.7,10886.7,11000,broadridge.com,100372,0,0/,0/,0/,10.96K,24K,,'0.68%,33599,12889,56074,99078$,720,422,2726$
577,611,Church & Dwight,4357.7,615.9,6657.4,15773.9,4800,churchdwight.com,387095,0,0/,0/,0/,2.84K,6.22K,,'0.68%,,,,,,,
578,612,Marriott Vacations Worldwide,4355.0,138,9214.0,2280.3,22000,mvwc.com,567342,77,30,19,3/,1.94K,4.24K,,'0.68%,,,,,,,
579,613,Edwards Lifesciences,4348.0,1046.9,6488.1,39105.8,13900,edwards.com,120606,0,0/,0/,0/,9.12K,19.97K,,'0.68%,,,,,,,
580,614,Colfax,4326.3,-527.6,7386.8,2339.3,15000,colfaxcorp.com,1102635,0,0/,0/,0/,997,2.18K,,'0.68%,127673,1494,12444,31614$,0,0,0$
581,615,Insperity,4314.8,151.1,1395.0,1468.9,3500,insperity.com,16064,0,0/,0/,0/,68.48K,149.96K,,'0.68%,12535,61262,195285,645571$,751,9774,110566$
582,616,American Eagle Outfitters,4308.2,191.3,3328.7,1329.3,27000,ae.com,3592,0,0/,0/,0/,306.24K,670.66K,,'0.68%,,,,,,,
583,617,Keysight Technologies,4303.0,621,6623.0,15681.2,13600,keysight.com,16825,0,0/,0/,0/,65.38K,143.17K,,'0.68%,,,,,,,
584,618,JELD-WEN Holding,4289.8,63,3381.3,980.3,23300,jeld-wen.com,208962,0,0/,0/,0/,5.26K,11.53K,,'0.68%,,,,,,,
585,619,Iron Mountain,4262.6,267.4,13816.8,6838.8,25000,ironmountain.com,138444,0,0/,0/,0/,7.95K,17.4K,,'0.68%,22594,55577,98917,363994$,1168,7345,52709$
586,620,Nasdaq,4262.0,774,13924.0,15604.8,4361,nasdaq.com,5685,0,0/,0/,0/,193.49K,423.74K,,'0.68%,477,1086230,7204827,25947428$,221,90942,242465$
587,621,Gartner,4245.3,233.3,7151.3,8871.8,16724,gartner.com,6021,0,0/,0/,0/,182.69K,400.1K,,'0.68%,,,,,,,
588,622,Sinclair Broadcast Group,4240.0,47,17370.0,1472.5,11800,sbgi.net,334211,0,0/,0/,0/,3.29K,7.21K,,'0.68%,,,,,,,
589,624,Monster Beverage,4200.8,1107.8,5150.4,30205.8,3092,monsterbevcorp.com,870110,0,0/,0/,0/,1.26K,2.77K,,'0.68%,225944,3480,5536,8101$,0,0,0$
590,625,Murphy Oil,4194.0,1149.7,11718.5,941.4,822,murphyoilcorp.com,916551,1121,43,52,4.,1.2K,2.63K,,'0.68%,,,,,,,
591,626,Vertex Pharmaceuticals,4162.8,1176.8,8318.5,61693,3000,vrtx.com,206937,56,46,57,4.,5.32K,11.64K,,'0.68%,29792,3518,39400,221420$,0,0,0$
592,627,First Republic Bank,4156.7,930.3,116263.6,14093.5,4812,firstrepublic.com,36792,0,0/,0/,0/,29.9K,65.47K,,'0.68%,,,,,,,
593,628,Bloomin' Brands,4139.4,130.6,3592.7,621.4,94000,bloominbrands.com,429541,0,0/,0/,0/,2.56K,5.61K,,'0.68%,,,,,,,
594,629,Spectrum Brands Holdings,4138.8,471.9,5230.5,1669.2,13000,spectrumbrands.com,190928,0,0/,0/,0/,5.76K,12.61K,,'0.68%,,,,,,,
595,630,Quad/Graphics,4137.2,-156.3,2417.1,136,19600,qg.com,246062,0,0/,0/,0/,4.47K,9.79K,,'0.68%,,,,,,,
596,631,Flowers Foods,4124.0,164.5,3177.8,4341.3,9700,flowersfoods.com,967390,0,0/,0/,0/,1.14K,2.49K,,'0.68%,,,,,,,
597,632,CUNA Mutual Group,4122.7,219.6,24609.6,-,3600,cunamutual.com,208271,0,0/,0/,0/,5.28K,11.56K,,'0.68%,,,,,,,
598,633,Allegheny Technologies,4122.5,257.6,5634.6,1076.3,8100,atimetals.com,585482,0,0/,0/,0/,1.88K,4.11K,,'0.68%,,,,,,,
599,634,Old Dominion Freight Line,4109.1,615.5,3995.6,15691.6,20105,odfl.com,73272,0,0/,0/,0/,15.01K,32.88K,,'0.68%,,,,,,,
600,635,Landstar System,4089.6,227.7,1427.7,3784.9,1333,landstar.com,727225,0,0/,0/,0/,1.51K,3.31K,,'0.68%,,,,,,,
601,636,American National Insurance,4070.1,620.4,28597.6,2215,4640,anico.com,276887,0,0/,0/,0/,3.97K,8.7K,,'0.68%,,,,,,,
602,637,Snap-on,4067.7,693.5,5693.5,5951.1,12800,snapon.com,50995,0,0/,0/,0/,21.57K,47.24K,,'0.68%,,,,,,,
603,638,Brookdale Senior Living,4057.1,-267.9,7194.4,574.9,48400,brookdale.com,147258,0,0/,0/,0/,7.47K,16.36K,,'0.68%,,,,,,,
604,639,Amkor Technology,4052.7,120.9,4695.6,1877.8,29650,amkor.com,819855,0,0/,0/,0/,1.34K,2.93K,,'0.68%,,,,,,,
605,642,Dentsply Sirona,4029.2,262.9,8602.9,8598.5,15200,dentsplysirona.com,110308,0,0/,0/,0/,9.97K,21.84K,,'0.68%,,,,,,,
606,643,CNO Financial Group,4015.8,409.4,33630.9,1795.1,3300,cnoinc.com,335941,0,0/,0/,0/,3.27K,7.17K,,'0.68%,,,,,,,
607,645,Sabre,3975.0,158.6,5690.0,1623.4,9250,sabre.com,21048,0,0/,0/,0/,52.26K,114.45K,,'0.68%,,,,,,,
608,646,Mercury General,3972.5,320.1,5889.2,2254.2,4500,mercuryinsurance.com,69229,0,0/,0/,0/,15.89K,34.8K,,'0.68%,10807,68837,255358,2816780$,0,0,0$
609,648,Parsons,3954.8,120.5,3450.4,3217.4,15879,parsons.com,56091,0,0/,0/,0/,19.61K,42.95K,,'0.68%,,,,,,,
610,649,Aaron's,3947.7,31.5,3297.8,1520.4,12100,aarons.com,88818,0,0/,0/,0/,12.38K,27.12K,,'0.68%,,,,,,,
611,650,Flowserve,3944.9,253.7,4919.6,3127.2,17000,flowserve.com,163598,0,0/,0/,0/,6.72K,14.72K,,'0.68%,,,,,,,
612,651,Carvana,3939.9,-114.7,2057.7,8480,7324,carvana.com,57342,0,0/,0/,0/,19.18K,42.01K,,'0.68%,64586,19061,16495,47195$,82,3054,7147$
613,653,Sally Beauty Holdings,3876.4,271.6,2098.4,943.6,30050,sallybeautyholdings.com,1163675,0,0/,0/,0/,945,2.07K,,'0.68%,,,,,,,
614,654,ScanSource,3873.1,57.6,2067.3,542.1,2700,scansource.com,259191,0,0/,0/,0/,4.24K,9.29K,,'0.68%,,,,,,,
615,655,Ventas,3872.8,433,24692.2,9992.7,516,ventasreit.com,1142953,0,0/,0/,0/,962,2.11K,,'0.68%,,,,,,,
616,656,Country Financial,3868.1,167.3,15724.8,-,3839,countryfinancial.com,184462,0,0/,0/,0/,5.96K,13.06K,,'0.68%,,,,,,,
617,657,TriNet Group,3856.0,212,2748.0,2589.1,2900,trinet.com,33280,1396,52,59,5.,33.05K,72.39K,,'0.68%,21217,9266,58313,273523$,206,893,6389$
618,658,Spirit Airlines,3830.5,335.3,7043.4,882.4,8938,spirit.com,4581,0,0/,0/,0/,240.12K,525.87K,,'0.68%,,,,,,,
619,659,Comerica,3817.0,1198,73402.0,4117.7,7708,comerica.com,30534,0,0/,0/,0/,36.03K,78.9K,,'0.68%,,,,,,,
620,660,Lennox International,3807.2,408.7,2034.9,7016.9,11200,lennoxinternational.com,512831,0,0/,0/,0/,2.14K,4.69K,,'0.68%,228667,271,5886,7775$,0,0,0$
621,661,Timken,3789.9,362.1,4859.9,2451.8,18829,timken.com,149767,84,44,57,4.,7.34K,16.08K,,'0.68%,22710,12866,53915,85777$,0,0,0$
622,662,Paychex,3772.5,1034.4,8676.0,22570.4,15450,paychex.com,6643,0,0/,0/,0/,165.59K,362.63K,,'0.68%,,,,,,,
623,663,Amerco,3768.7,370.9,11891.7,5697,21900,amerco.com,1765026,0,0/,0/,0/,623,1.37K,,'0.68%,402789,1343,2278,3874$,0,0,0$
624,664,Worthington Industries,3759.6,153.5,2510.8,1433.2,12000,worthingtonindustries.com,424184,0,0/,0/,0/,2.59K,5.68K,,'0.68%,75377,2620,12526,3870$,119,13,67$
625,665,Lamb Weston Holdings,3756.5,478.6,3048.1,8341.9,7600,lambweston.com,589553,0,0/,0/,0/,1.87K,4.09K,,'0.68%,,,,,,,
626,666,Laureate Education,3752.1,938.5,6515.6,2203.3,41000,laureate.net,13501,0,0/,0/,0/,81.48K,178.43K,,'0.68%,,,,,,,
627,667,Penn Mutual Life Insurance,3705.1,396,36678.6,-,3318,pennmutual.com,222939,0,0/,0/,0/,4.93K,10.8K,,'0.68%,,,,,,,
628,668,iHeartMedia,3683.5,-,11021.1,1073.8,11400,iheartmedia.com,85331,0,0/,0/,0/,12.89K,28.23K,,'0.68%,28120,50519,76368,42205$,0,0,0$
629,669,Brink's,3683.2,29,3763.8,2625.2,64300,brinks.com,429363,0,0/,0/,0/,2.56K,5.61K,,'0.68%,,,,,,,
630,670,Sentry Insurance Group,3680.8,324.3,19752.6,-,4217,sentry.com,331481,0,0/,0/,0/,3.32K,7.26K,,'0.68%,,,,,,,
631,671,Acuity Brands,3672.7,330.4,3172.4,3393.8,12000,acuitybrands.com,73991,0,0/,0/,0/,14.87K,32.56K,,'0.68%,,,,,,,
632,672,Hub Group,3668.1,107.2,1991.6,1557.3,5000,hubgroup.com,346751,0,0/,0/,0/,3.17K,6.95K,,'0.68%,,,,,,,
633,673,Meritage Homes,3666.9,249.7,3398.2,1372.7,1510,meritagehomes.com,176317,0,0/,0/,0/,6.24K,13.66K,,'0.68%,,,,,,,
634,674,MRC Global,3662.0,39,2325.0,349.6,3345,mrcglobal.com,678618,0,0/,0/,0/,1.62K,3.55K,,'0.68%,70924,9622,21088,19658$,2,0,0$
635,675,Alliant Energy,3647.7,557.2,16700.7,11832.5,3597,alliantenergy.com,82737,0,0/,0/,0/,13.3K,29.12K,,'0.68%,,,,,,,
636,676,Workday,3627.2,-480.7,6816.4,30211,12200,workday.com,12438,0,0/,0/,0/,88.44K,193.68K,,'0.68%,,,,,,,
637,677,BMC Stock Holdings,3626.6,109.8,1906.1,1183.3,10200,buildwithbmc.com,335712,0,0/,0/,0/,3.28K,7.18K,,'0.68%,,,,,,,
638,678,Abercrombie & Fitch,3623.1,39.4,3549.7,559.9,26000,abercrombie.com,9267,0,0/,0/,0/,118.7K,259.95K,,'0.68%,,,,,,,
639,679,Domino's Pizza,3618.8,400.7,1382.1,12647.1,13100,dominos.com,3518,144063,59,75,5.,312.68K,684.76K,,'0.68%,118,440028,24753277,27572615$,2971,1689830,4969260$
640,680,Lyft,3616.0,-2602.2,5691.4,8233.3,5683,lyft.com,6776,0,0/,0/,0/,162.34K,355.52K,,'0.68%,1182,262997,2644612,6316307$,273,32607,71129$
641,681,Meredith,3611.9,46.3,6136.9,554.1,5615,meredith.com,77228,0,0/,0/,0/,14.24K,31.19K,,'0.68%,,,,,,,
642,682,American Water Works,3610.0,621,22682.0,21642.7,6800,amwater.com,39388,0,0/,0/,0/,27.93K,61.16K,,'0.68%,,,,,,,
643,683,Albemarle,3589.4,533.2,9860.9,5993.2,6000,albemarle.com,401630,0,0/,0/,0/,2.74K,5.99K,,'0.68%,,,,,,,
644,684,Ciena,3572.1,253.4,3893.3,6111,6383,ciena.com,90692,0,0/,0/,0/,12.13K,26.56K,,'0.68%,,,,,,,
645,685,Barnes & Noble,3552.7,3.8,1705.6,-,15538,barnesandnobleinc.com,457775,0,0/,0/,0/,2.4K,5.26K,,'0.68%,,,,,,,
646,686,Weis Markets,3543.3,68,1675.6,1120.6,23000,weismarkets.com,113174,0,0/,0/,0/,9.72K,21.29K,,'0.68%,9938,13553,140988,84589$,0,0,0$
647,687,Illumina,3543.0,1002,7316.0,40148.6,7700,illumina.com,40366,0,0/,0/,0/,27.25K,59.68K,,'0.68%,,,,,,,
648,688,SVB Financial Group,3530.9,1136.9,71004.9,7787.7,3564,svb.com,69990,0,0/,0/,0/,15.72K,34.42K,,'0.68%,,,,,,,
649,689,Carter's,3519.3,263.8,2753.1,2887.4,20300,carters.com,11450,0,0/,0/,0/,96.07K,210.39K,,'0.68%,,,,,,,
650,690,Stifel Financial,3515.0,448.4,24610.2,2870.3,8205,stifel.com,100957,0,0/,0/,0/,10.9K,23.86K,,'0.68%,,,,,,,
651,691,Mednax,3513.5,-1497.7,4145.9,981,9480,mednax.com,439077,0,0/,0/,0/,2.51K,5.49K,,'0.68%,,,,,,,
652,692,Equifax,3507.6,-398.8,7909.0,14569.4,11200,equifax.com,12080,0,0/,0/,0/,91.06K,199.42K,,'0.68%,,,,,,,
653,693,Kar Auction Services,3505.5,188.5,6581.2,1546.4,13311,karauctionservices.com,596533,0,0/,0/,0/,1.84K,4.04K,,'0.68%,,,,,,,
654,694,Ashland Global Holdings,3505.0,505,7251.0,3016.6,4700,ashland.com,303679,0,0/,0/,0/,3.62K,7.94K,,'0.68%,,,,,,,
655,695,Medical Mutual of Ohio,3502.7,83.7,2541.8,-,2801,medmutual.com,74672,0,0/,0/,0/,14.73K,32.26K,,'0.68%,,,,,,,
656,696,Sprague Resources,3502.4,31.3,1275.5,299.1,770,spragueenergy.com,1109612,0,0/,0/,0/,991,2.17K,,'0.68%,195529,3100,6786,19871$,0,0,0$
657,697,Super Micro Computer,3500.4,71.9,1682.6,1090.8,3670,supermicro.com,37264,0,0/,0/,0/,29.52K,64.65K,,'0.68%,,,,,,,
658,699,Pitney Bowes,3477.7,194.6,5466.9,349.6,11000,pb.com,14158,0,0/,0/,0/,77.69K,170.15K,,'0.68%,,,,,,,
659,700,Applied Industrial Technologies,3472.7,144,2331.7,1768.4,6650,applied.com,214234,0,0/,0/,0/,5.13K,11.24K,,'0.68%,,,,,,,
660,701,Pinnacle West Capital,3471.2,538.3,18479.2,8521.8,6210,pinnaclewest.com,1647785,0,0/,0/,0/,667,1.46K,,'0.68%,,,,,,,
661,702,American Equity Investment Life Holding,3464.3,246.1,69696.6,1716.3,608,american-equity.com,304380,0,0/,0/,0/,3.61K,7.91K,,'0.68%,,,,,,,
662,703,ServiceNow,3460.4,626.7,6022.4,54392.9,10371,servicenow.com,14838,0,0/,0/,0/,74.13K,162.35K,,'0.68%,,,,,,,
663,704,Twitter,3459.3,1465.7,12703.4,19213,4900,twitter.com,48,0,0/,0/,0/,22.92M,50.19M,,'0.68%,26,36703144,121248421,100853524$,125,21154,34444$
664,705,Calumet Specialty Products Partners,3452.6,-43.6,1857.8,81.7,1500,calumetspecialty.com,2026458,0,0/,0/,0/,542,1.19K,,'0.68%,,,,,,,
665,706,Steelcase,3443.2,126,2142.4,1156.8,12700,steelcase.com,41184,0,0/,0/,0/,26.71K,58.49K,,'0.68%,,,,,,,
666,707,Sanderson Farms,3440.3,53.3,1774.1,2742.4,17055,sandersonfarms.com,792071,0,0/,0/,0/,1.39K,3.04K,,'0.68%,,,,,,,
667,708,WABCO Holdings,3421.4,245.8,4037.1,6924.1,13911,wabco-auto.com,223742,60,46,58,4.,4.92K,10.77K,,'0.68%,240544,2643,2846,1618$,0,0,0$
668,709,Clean Harbors,3412.2,97.7,4108.9,2866.3,14400,cleanharbors.com,365295,0,0/,0/,0/,3.01K,6.59K,,'0.68%,,,,,,,
669,711,Scientific Games,3400.0,-130,7809.0,910.5,9800,scientificgames.com,122099,0,0/,0/,0/,9.01K,19.73K,,'0.68%,,,,,,,
670,712,Granite Construction,3389.8,-105.4,2633.8,709.5,4200,graniteconstruction.com,842228,0,0/,0/,0/,1.31K,2.86K,,'0.68%,,,,,,,
671,713,Carlyle Group,3377.0,380.9,13808.8,7539.2,1775,carlyle.com,135395,0,0/,0/,0/,8.12K,17.79K,,'0.68%,,,,,,,
672,714,Skyworks Solutions,3376.8,853.6,4839.6,15155.5,9000,skyworksinc.com,181878,0,0/,0/,0/,6.05K,13.24K,,'0.68%,,,,,,,
673,715,Aleris,3375.9,-11.8,2712.2,-,5600,aleris.com,2058992,0,0/,0/,0/,534,1.17K,,'0.68%,,,,,,,
674,717,Hexion,3374.0,-,4146.0,-,4000,hexion.com,609673,0,0/,0/,0/,1.8K,3.95K,,'0.68%,,,,,,,
675,718,Hologic,3367.3,-203.6,6442.1,9270.9,6478,hologic.com,185002,0,0/,0/,0/,5.95K,13.02K,,'0.68%,52888,17844,35533,72309$,10,1414,1980$
676,719,Triumph Group,3364.9,-321.8,2854.6,350.5,10776,triumphgroup.com,816031,20,40,45,4.,1.35K,2.95K,,'0.68%,63787,3804,13992,6938$,0,0,0$
677,720,Darling Ingredients,3363.9,312.6,5345.3,3144.6,10100,darlingii.com,1075263,0,0/,0/,0/,1.02K,2.24K,,'0.68%,,,,,,,
678,721,MSC Industrial Direct,3363.8,288.9,2311.2,3044.9,6700,mscdirect.com,27294,0,0/,0/,0/,40.3K,88.26K,,'0.68%,,,,,,,
679,722,Red Hat,3362.1,434,5588.3,-,13360,redhat.com,3624,578528,66,91,6.,303.53K,664.74K,,'0.68%,,,,,,,
680,723,Synopsys,3360.7,532.4,6405.2,19347.8,13896,synopsys.com,25717,0,0/,0/,0/,42.77K,93.67K,,'0.68%,35755,60305,57275,158576$,363,1388,18087$
681,724,PolyOne,3351.6,588.6,3273.3,1752.3,5600,polyone.com,335557,0,0/,0/,0/,3.28K,7.18K,,'0.68%,,,,,,,
682,725,Dycom Industries,3339.7,57.2,2217.6,810.2,15230,dycomind.com,1490845,0,0/,0/,0/,737,1.61K,,'0.68%,272526,1033,3819,936$,0,0,0$
683,726,Cabot,3337.0,157,3004.0,1480.5,4500,cabotcorp.com,461518,0,0/,0/,0/,2.38K,5.22K,,'0.68%,,,,,,,
684,727,Prologis,3330.6,1573,40031.9,59400.6,1712,prologis.com,284218,0,0/,0/,0/,3.87K,8.48K,,'0.68%,74833,15388,23114,26455$,0,0,0$
685,728,Boyd Gaming,3326.1,157.6,6650.1,1609.4,24300,boydgaming.com,767163,0,0/,0/,0/,1.43K,3.14K,,'0.68%,,,,,,,
686,729,LSC Communications,3326.0,-295,1649.0,3,20000,lsccom.com,211807,0,0/,0/,0/,5.19K,11.37K,,'0.68%,86310,2303,16562,30004$,0,0,0$
687,730,Brown-Forman,3324.0,835,5139.0,25843.4,4700,brown-forman.com,347561,0,0/,0/,0/,3.16K,6.93K,,'0.68%,,,,,,,
688,731,Stericycle,3308.9,-346.8,6437.0,4434,19500,stericycle.com,384129,0,0/,0/,0/,2.86K,6.27K,,'0.68%,,,,,,,
689,732,CIT Group,3296.1,529.9,50832.8,1692,3609,cit.com,45435,0,0/,0/,0/,24.21K,53.02K,,'0.68%,,,,,,,
690,734,Hyster-Yale Materials Handling,3291.8,35.8,1847.2,672.8,7900,hyster-yale.com,781914,0,0/,0/,0/,1.41K,3.08K,,'0.68%,,,,,,,
691,735,Crane,3283.1,133.3,4423.7,2911.4,13000,craneco.com,527428,0,0/,0/,0/,2.09K,4.57K,,'0.68%,41280,3791,40923,78836$,0,0,0$
692,736,Cinemark Holdings,3283.1,191.4,5828.0,1193.8,22603,cinemark.com,6377,0,0/,0/,0/,172.49K,377.76K,,'0.68%,,,,,,,
693,737,Autodesk,3274.3,214.5,6179.3,34267.3,10100,autodesk.com,549,0,0/,0/,0/,2M,4.39M,,'0.68%,,,,,,,
694,738,Trimble,3264.3,514.3,6640.7,7962.8,11484,trimble.com,8467,0,0/,0/,0/,129.92K,284.52K,,'0.68%,,,,,,,
695,739,Garrett Motion,3248.0,313,2275.0,214,7400,garrettmotion.com,197730,0,0/,0/,0/,5.56K,12.18K,,'0.68%,,,,,,,
